BusID,Type,V_init,Angle_init,G_shunt_pu,B_shunt_pu,V_final_pu,Angle_final_deg,Pg_final_MW,Pd_final_MW,Qg_final_MVAR,Qd_final_MVAR,Frequency_Hz,time_step,datetime
1,1,1.06,0,0,0.0,1.06,0.0,49.99959417186989,0.0,28.027255118908574,0.0,50.0,0,1900-01-01 00:00:00
2,2,1.043,0,0,0.0,1.043,-0.7273182366231353,45.231848620080164,15.361259989179999,4.919440229481178,8.99023050058,50.0,0,1900-01-01 00:00:00
3,3,1.0,0,0,0.0,1.0323627232597221,-1.5046540107543553,0.0,1.69894119696,3.6968277106197434e-08,0.84947059848,50.0,0,1900-01-01 00:00:00
4,3,1.0,0,0,0.0,1.025123356584616,-1.7965172876853455,0.0,5.379980457039999,2.310951252582072e-08,1.13262746464,50.0,0,1900-01-01 00:00:00
5,2,1.01,0,0,0.0,1.01,-3.670705471681689,30.15456574672012,66.68344198068,3.4352702500984194,13.4499511426,50.0,0,1900-01-01 00:00:00
6,3,1.0,0,0,0.0,1.019906785210289,-2.1449956928625262,0.0,0.0,1.2863717478536271e-07,0.0,50.0,0,1900-01-01 00:00:00
7,3,1.0,0,0,0.0,1.0106766883450353,-3.151138102025515,0.0,16.13994137112,4.1069148082328866e-09,7.71602460286,50.0,0,1900-01-01 00:00:00
8,2,1.01,0,0,0.0,1.01,-2.003607194454275,22.615924310040082,21.236764962,-8.875220289703051,21.236764962,50.0,0,1900-01-01 00:00:00
9,3,1.0,0,0,0.0,1.0626998598855688,-1.9397966682895538,0.0,0.0,2.480450361335284e-06,0.0,50.0,0,1900-01-01 00:00:00
10,3,1.0,0,0,0.19,1.0642348226654512,-3.5054020267865575,0.0,4.1057745593199995,9.955595423605246e-07,1.4157843308,50.0,0,1900-01-01 00:00:00
11,2,1.082,0,0,0.0,1.082,1.170953276234852,29.998782515609655,0.0,10.854343917008602,0.0,50.0,0,1900-01-01 00:00:00
12,3,1.0,0,0,0.0,1.0702096413430857,-2.944175650308932,0.0,7.928392252479999,1.1831805020179331e-06,5.3091912405,50.0,0,1900-01-01 00:00:00
13,2,1.071,0,0,0.0,1.071,-1.3612448274967655,22.615924310040082,0.0,0.917053331315874,0.0,50.0,0,1900-01-01 00:00:00
14,3,1.0,0,0,0.0,1.0602789530385064,-3.5825638341774857,0.0,4.38893142548,2.2824816059419106e-07,1.13262746464,50.0,0,1900-01-01 00:00:00
15,3,1.0,0,0,0.0,1.057255037136191,-3.678103292693903,0.0,5.804715756279999,5.218972649601028e-07,1.7697304135,50.0,0,1900-01-01 00:00:00
16,3,1.0,0,0,0.0,1.0623587598758277,-3.367622539725476,0.0,2.4776225789,1.95845162309638e-07,1.27420589772,50.0,0,1900-01-01 00:00:00
17,3,1.0,0,0,0.0,1.0601910888525523,-3.6080664209063835,0.0,6.3710294886,1.3905650764201027e-07,4.1057745593199995,50.0,0,1900-01-01 00:00:00
18,3,1.0,0,0,0.0,1.0513296823523108,-4.089600774408723,0.0,2.26525492928,1.0697955432625861e-07,0.63710294886,50.0,0,1900-01-01 00:00:00
19,3,1.0,0,0,0.0,1.049986447690691,-4.203628522341992,0.0,6.7249755713,1.9827500130631392e-07,2.40683336236,50.0,0,1900-01-01 00:00:00
20,3,1.0,0,0,0.0,1.053013544492652,-4.0689389087909476,0.0,1.55736276388,1.6261487673085995e-07,0.49552451577999995,50.0,0,1900-01-01 00:00:00
21,3,1.0,0,0,0.0,1.0556084011449345,-3.8590621207901585,0.0,12.3881128945,3.9365601534058214e-07,7.928392252479999,50.0,0,1900-01-01 00:00:00
22,3,1.0,0,0,0.0,1.0559568964837436,-3.8662643122151534,0.0,0.0,9.682229429057891e-08,0.0,50.0,0,1900-01-01 00:00:00
23,3,1.0,0,0,0.0,1.0504315258173775,-4.06110076483906,0.0,2.26525492928,8.060027090195376e-08,1.13262746464,50.0,0,1900-01-01 00:00:00
24,3,1.0,0,0,0.043,1.047181688306124,-4.338442138072007,0.0,6.15866183898,3.030842155027358e-07,4.74287750818,50.0,0,1900-01-01 00:00:00
25,3,1.0,0,0,0.0,1.0390917150776546,-4.510298347033405,0.0,0.0,2.238238299608931e-08,0.0,50.0,0,1900-01-01 00:00:00
26,3,1.0,0,0,0.0,1.0269163536244765,-4.793430303990505,0.0,2.4776225789,2.815205313311253e-08,1.6281519804199998,50.0,0,1900-01-01 00:00:00
27,3,1.0,0,0,0.0,1.0401101363464176,-4.44777830651198,0.0,0.0,-8.724650748290711e-09,0.0,50.0,0,1900-01-01 00:00:00
28,3,1.0,0,0,0.0,1.0163435952839597,-2.3719692655283127,0.0,0.0,5.5972194713462756e-08,0.0,50.0,0,1900-01-01 00:00:00
29,3,1.0,0,0,0.0,1.0265255740825503,-5.285155521227886,0.0,1.69894119696,6.625046444774796e-08,0.63710294886,50.0,0,1900-01-01 00:00:00
30,3,1.0,0,0,0.0,1.018658489545861,-5.880154105164612,0.0,7.503656953239999,1.4545136428623096e-07,1.3449951142599998,50.0,0,1900-01-01 00:00:00
1,1,1.06,0,0,0.0,1.06,0.0,49.99974910422417,0.0,28.10885511317765,0.0,50.0,1,1900-01-01 00:15:00
2,2,1.043,0,0,0.0,1.043,-0.7103125732651119,46.46329523833763,15.09455655148,4.365050952628029,8.83414139188,50.0,1,1900-01-01 00:15:00
3,3,1.0,0,0,0.0,1.032301913802633,-1.5498267292441754,0.0,1.6694440425600001,3.557107575158369e-08,0.8347220212800001,50.0,1,1900-01-01 00:15:00
4,3,1.0,0,0,0.0,1.0250321823947235,-1.8530979730356039,0.0,5.28657280144,1.990005826790764e-08,1.11296269504,50.0,1,1900-01-01 00:15:00
5,2,1.01,0,0,0.0,1.01,-3.575056162686363,30.97553015889175,65.52567867048,2.4978154844344065,13.216432003600001,50.0,1,1900-01-01 00:15:00
6,3,1.0,0,0,0.0,1.0197230674184443,-2.224204304910603,0.0,0.0,1.0016748072669117e-07,0.0,50.0,1,1900-01-01 00:15:00
7,3,1.0,0,0,0.0,1.010651365453862,-3.1530227653495575,0.0,15.85971840432,3.122401004418407e-09,7.58205835996,50.0,1,1900-01-01 00:15:00
8,2,1.01,0,0,0.0,1.01,-2.0647773837554744,23.231647619168815,20.868050532,-9.052877956070574,20.868050532,50.0,1,1900-01-01 00:15:00
9,3,1.0,0,0,0.0,1.0628584145879365,-2.4107806767482054,0.0,0.0,1.7510319829251997e-06,0.0,50.0,1,1900-01-01 00:15:00
10,3,1.0,0,0,0.19,1.0642384614034575,-3.8020242193527736,0.0,4.03448976952,7.609030254762672e-07,1.3912033688,50.0,1,1900-01-01 00:15:00
11,2,1.082,0,0,0.0,1.082,-0.0025882516353373498,23.231647619168815,0.0,10.445600757202463,0.0,50.0,1,1900-01-01 00:15:00
12,3,1.0,0,0,0.0,1.0706761040642336,-3.0446765097484527,0.0,7.79073886528,1.1851637893300904e-06,5.217012633,50.0,1,1900-01-01 00:15:00
13,2,1.071,0,0,0.0,1.071,-1.4193472496595796,23.231647619168815,0.0,0.5773125992458671,0.0,50.0,1,1900-01-01 00:15:00
14,3,1.0,0,0,0.0,1.060927377234039,-3.6935952018734532,0.0,4.31273044328,2.2628867024643284e-07,1.11296269504,50.0,1,1900-01-01 00:15:00
15,3,1.0,0,0,0.0,1.057800313652971,-3.8094104069937385,0.0,5.70393381208,5.30610553273192e-07,1.7390042110000001,50.0,1,1900-01-01 00:15:00
16,3,1.0,0,0,0.0,1.0625673580631045,-3.547897242726197,0.0,2.4346058954000003,2.1119121274004726e-07,1.25208303192,50.0,1,1900-01-01 00:15:00
17,3,1.0,0,0,0.0,1.060365124670525,-3.866067498631289,0.0,6.2604151596,1.2321216225075204e-07,4.03448976952,50.0,1,1900-01-01 00:15:00
18,3,1.0,0,0,0.0,1.0518206049645968,-4.270445031812438,0.0,2.22592539008,1.0846573372802482e-07,0.62604151596,50.0,1,1900-01-01 00:15:00
19,3,1.0,0,0,0.0,1.0504106242060385,-4.416416245798419,0.0,6.608216001800001,1.7617601377750702e-07,2.36504572696,50.0,1,1900-01-01 00:15:00
20,3,1.0,0,0,0.0,1.0533347068189645,-4.302066204594603,0.0,1.53032370568,1.2876883387358262e-07,0.48692117908,50.0,1,1900-01-01 00:15:00
21,3,1.0,0,0,0.0,1.0557996301460293,-4.134834969724673,0.0,12.173029477,3.3138946786692713e-07,7.79073886528,50.0,1,1900-01-01 00:15:00
22,3,1.0,0,0,0.0,1.0561548265572827,-4.137225048095047,0.0,0.0,7.210979286968507e-08,0.0,50.0,1,1900-01-01 00:15:00
23,3,1.0,0,0,0.0,1.0510560296571085,-4.220072226493569,0.0,2.22592539008,8.11282212520581e-08,1.11296269504,50.0,1,1900-01-01 00:15:00
24,3,1.0,0,0,0.043,1.047820603678997,-4.539034805036567,0.0,6.05173465428,2.683353184096404e-07,4.66053128548,50.0,1,1900-01-01 00:15:00
25,3,1.0,0,0,0.0,1.0398616372329539,-4.645206969033282,0.0,0.0,2.405270934312418e-08,0.0,50.0,1,1900-01-01 00:15:00
26,3,1.0,0,0,0.0,1.0279094614178697,-4.922948531320686,0.0,2.4346058954000003,2.5829320238202058e-08,1.5998838741199999,50.0,1,1900-01-01 00:15:00
27,3,1.0,0,0,0.0,1.040823063483166,-4.54486214931441,0.0,0.0,-4.108569561384722e-09,0.0,50.0,1,1900-01-01 00:15:00
28,3,1.0,0,0,0.0,1.0162793615247097,-2.4509612050019762,0.0,0.0,5.379801511218473e-08,0.0,50.0,1,1900-01-01 00:15:00
29,3,1.0,0,0,0.0,1.0274925412781388,-5.366368162696974,0.0,1.6694440425600001,6.184683465360052e-08,0.62604151596,50.0,1,1900-01-01 00:15:00
30,3,1.0,0,0,0.0,1.0197721586115478,-5.94985444005688,0.0,7.37337785464,1.375489055988055e-07,1.32164320036,50.0,1,1900-01-01 00:15:00
1,1,1.06,0,0,0.0,1.06,0.0,49.99974794241035,0.0,28.03552992163027,0.0,50.0,2,1900-01-01 00:30:00
2,2,1.043,0,0,0.0,1.043,-0.7133945587884261,45.28925216100937,14.80988346747,4.263387143179923,8.66753548557,50.0,2,1900-01-01 00:30:00
3,3,1.0,0,0,0.0,1.0324231489795208,-1.5387155230567453,0.0,1.63795946184,3.4895624612119036e-08,0.81897973092,50.0,2,1900-01-01 00:30:00
4,3,1.0,0,0,0.0,1.0251735664650081,-1.8398977237061005,0.0,5.18687162916,2.0329040006927812e-08,1.09197297456,50.0,2,1900-01-01 00:30:00
5,2,1.01,0,0,0.0,1.01,-3.5324545670940637,30.192834774006243,64.28990887722,1.9407613910752204,12.9671790729,50.0,2,1900-01-01 00:30:00
6,3,1.0,0,0,0.0,1.0198545249278808,-2.207675952956206,0.0,0.0,9.789011593567413e-08,0.0,50.0,2,1900-01-01 00:30:00
7,3,1.0,0,0,0.0,1.010845317572792,-3.1192146677379835,0.0,15.56061488748,3.0059306155294507e-09,7.43906588919,50.0,2,1900-01-01 00:30:00
8,2,1.01,0,0,0.0,1.01,-2.0493794067069704,22.644626080504686,20.474493273,-9.801354869237962,20.474493273,50.0,2,1900-01-01 00:30:00
9,3,1.0,0,0,0.0,1.0632011476963588,-2.4040361533620263,0.0,0.0,1.7064572146675527e-06,0.0,50.0,2,1900-01-01 00:30:00
10,3,1.0,0,0,0.19,1.0648347076427864,-3.7664756511021715,0.0,3.9584020327799996,7.421895451553695e-07,1.3649662182,50.0,2,1900-01-01 00:30:00
11,2,1.082,0,0,0.0,1.082,-0.057485986498269324,22.644626080504686,0.0,10.24278882327023,0.0,50.0,2,1900-01-01 00:30:00
12,3,1.0,0,0,0.0,1.0710020071610453,-3.0236528025891825,0.0,7.643810821919999,1.1813861382492519e-06,5.11862331825,50.0,2,1900-01-01 00:30:00
13,2,1.071,0,0,0.0,1.071,-1.4398854719782437,22.644626080504686,0.0,0.31145531797433934,0.0,50.0,2,1900-01-01 00:30:00
14,3,1.0,0,0,0.0,1.061465388260616,-3.6597374567721244,0.0,4.23139527642,2.2091100881915793e-07,1.09197297456,50.0,2,1900-01-01 00:30:00
15,3,1.0,0,0,0.0,1.0584208396459138,-3.773640240774242,0.0,5.596361494619999,5.158804770033498e-07,1.70620777275,50.0,2,1900-01-01 00:30:00
16,3,1.0,0,0,0.0,1.0631137207761667,-3.517451440379337,0.0,2.38869088185,2.049889196165111e-07,1.22846959638,50.0,2,1900-01-01 00:30:00
17,3,1.0,0,0,0.0,1.0610111371115685,-3.8291529478670365,0.0,6.1423479818999995,1.2043521069315943e-07,3.9584020327799996,50.0,2,1900-01-01 00:30:00
